IMGWCode,AIRCode,Place,Distance,
353210285,MzOstrolKoscWSSE,Ostroleka,0.3386550192296477,
349220690,PkLeskoWSSERynek,Lesko,0.3488567873527362,
354170120,PmLebaRabkaE,Leba,0.47818394756109417,
349200660,MpNoSaczWSSENawo17a,NowySacz,0.5817137987850624,
354170125,PmLebMalcz16,Lebork,0.5995800910007174,
350150510,DsSniezkaObs,Sniezka,0.7860819106208495,
352220385,MzSiedChrobWSSE,Siedlce,0.9265368133541995,
349210670,PkKrosnoWSSEStasz,Krosno,0.9270147180787107,
353140200,ZpSwinoujscieWSSE,Swinoujscie,0.9330445675432502,
353170235,Pm.02.s631m,Chojnice,1.0263586294098115,
352190360,MzPlockPKN1,Plock,1.1730573789206713,
354150100,ZpKolobrzegWSSE_2,Kolobrzeg,1.2738120391901895,
349190625,MpZakopaSien,Zakopane,1.3277798703789403,
354160105,ZpKoszWSSEMors,Koszalin,1.411118080878241,
354210185,WmKetrzWSSE_Pilsud,Ketrzyn,1.4212923928671473,
354190160,WmElblagWSSE_Krole,Elblag,1.4213718552960977,
351160415,DsLegKsiez,LegnicaBartoszow,1.4502278840990228,
354160115,Pm.12.s063m,Ustka,1.4831911512093738,
350180540,SlRacibRaci_studz,Raciborz,1.5554590047350563,
353180250,KpToruStorczMOB,Torun,1.6128006259428012,
351180455,LdWielunWSSEMPOW14,Wielun,1.648368802204873,
349220695,PkPrzemWSSEGlaz,Przemysl,1.698023889035775,
351150400,LuZielKrotka,ZielonaGora,1.7587340775712723,
351180435,WpKaliszMajkow,Kalisz,1.7979191374075933,
350190550,SlCzestoZana,Czestochowa,1.8102826941241696,
350200575,MpTarnowWIOSSoli6303,Tarnow,1.9119274392830048,
350190560,SlKatoPlebA4,Katowice,2.1450192356959303,
351210488,MzKozienSwierWSSE,Kozienice,2.159675002491931,
350210585,SkSandomMac,Sandomierz,2.167367972073461,
354220195,PdSuwPulaskp,Suwalki,2.2885086919548128,
351230497,LbWlodawWSSE,Wlodawa,2.3532744502685654,
353160230,WpPilaKusoci,Pila,2.569271802866742,
349190600,SlBielSterni,Bielsko-Biala,2.670423219491247,
353200270,MzMlawOrdona,Mlawa,2.749970034848816,
353160215,ZpSzcSzczecinek009,Szczecinek,2.9235969047810393,
353230295,PdBialWaszyn,Bialystok,3.195744413140843,
350190566,MpZabieWapie,Krakow,3.6298010687506146,
350160520,DsKlodzOkrz,Klodzko,3.719652132209283,
351190465,LdLodzWSSEMWilensk,Lodz,3.8143546672447965,
351160425,DsWrocTech,WroclawI,3.959460936629608,
352140310,LuSlubWIOS_AUT,Slubice,4.029816404346111,
350150500,DsJelGorOgin,JeleniaGora,4.098373670142455,
352150300,LuGorzPilsud,GorzowWlkp,4.124438203611688,
351160418,WpLeszno411000,Leszno-Strzyzewice,4.865891243372446,
352200375,MzWarszOskLanWSSE,Warszawa-Okecie,4.967284872343728,
353140205,ZpSzczAndr01,Szczecin,5.59532948734147,
350170530,OpOpole45,Opole,6.3564314135529765,
349190650,MpZakopaSien,KasprowyWierch,7.166433030747641,
350230595,LbZamoscWSSE,Zamosc,7.670276153138766,
353200272,WmOlsPuszkin,Olsztyn,8.101293869153833,
350220580,PkRzeszPilsu,Rzeszow-Jasionka,8.288314299873212,
350200570,SkKielGalcz,Kielce,9.500687483303814,
354190160,WmElblagWSSE_Krole,Elblag-Milejewo,12.14393025552381,
351220495,LbLublinPiel,LublinRadawiec,12.197408586853964,
351160424,DsWrocOpor,WroclawIi,13.180812524577478,
351160425,DsWrocOpor,WroclawI,15.030588574904693,
351190469,LdPioTrKraPr,Sulejow,19.782219080523138,
354180155,PmGdaKacze02,Gdansk-Swibno,26.058688506239534,
354180135,Pm.00.s473m,Hel,27.721632908119872,
353150210,ZpGryficeWSSE,Resko,29.65161010776453,
353210280,WmMragowWSSE_Krolew,Mikolajki,32.65470915256613,
352230399,LbBiaPodOrze,Terespol,52.034334940433084